Episode 227 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.958 s, Game : 1.016 s
Episode 228 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.797 s, Game : 1.181 s
Episode 229 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.368 s, Game : 1.174 s
Episode 230 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.205 s, Game : 1.143 s
Episode 231 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.922 s, Game : 1.138 s
Episode 232 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.830 s, Game : 1.170 s
Episode 233 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 10.222 s, Game : 1.269 s
Episode 234 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.856 s, Game : 1.180 s
Episode 235 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.354 s, Game : 1.217 s
Episode 236 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 10.754 s, Game : 1.342 s
Episode 237 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.782 s, Game : 1.228 s
Episode 238 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.540 s, Game : 1.249 s
Episode 239 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.851 s, Game : 1.200 s
Episode 240 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 10.012 s, Game : 1.179 s
Episode 241 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.700 s, Game : 1.219 s
Episode 242 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.242 s, Game : 0.959 s
Episode 243 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.608 s, Game : 1.173 s
Episode 244 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.647 s, Game : 1.082 s
Episode 245 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.873 s, Game : 1.216 s
Episode 246 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.563 s, Game : 1.254 s
Episode 247 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 10.207 s, Game : 1.302 s
Episode 248 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 10.784 s, Game : 1.416 s
Episode 249 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 11.031 s, Game : 1.332 s
Episode 250 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.498 s, Game : 1.198 s
Episode 251 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.863 s, Game : 1.171 s
Episode 252 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.990 s, Game : 1.245 s
Episode 253 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.587 s, Game : 1.195 s
Episode 254 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.419 s, Game : 1.129 s
Episode 255 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 7.780 s, Game : 1.004 s
Episode 256 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 10.426 s, Game : 1.301 s
Episode 257 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.441 s, Game : 1.254 s
Episode 258 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 13.153 s, Game : 1.134 s
Episode 001 avg. reward = -1.000, Long-term avg. reward = -1.000
